sample,response,population,percentage
sample10091,no,cd4_t_cell,17.5
sample10191,no,cd4_t_cell,31.11
sample10192,no,cd4_t_cell,34.26
sample10193,no,cd4_t_cell,28.25
sample10230,no,cd4_t_cell,24.14
sample10231,no,cd4_t_cell,29.33
sample10232,no,cd4_t_cell,34.95
sample10251,no,cd4_t_cell,31.09
sample10252,no,cd4_t_cell,35.05
sample10253,no,cd4_t_cell,36.85
sample10266,no,cd4_t_cell,25.91
sample10267,no,cd4_t_cell,29.32
sample10268,no,cd4_t_cell,29.25
sample10305,no,cd4_t_cell,31.1
sample10306,no,cd4_t_cell,26.13
sample10307,no,cd4_t_cell,33.58
sample10320,no,cd4_t_cell,28.22
sample10321,no,cd4_t_cell,24.52
sample10322,no,cd4_t_cell,25.74
sample10395,no,cd4_t_cell,33.16
sample10396,no,cd4_t_cell,31.51
sample10397,no,cd4_t_cell,23.13
sample10416,no,cd4_t_cell,29.88
sample10417,no,cd4_t_cell,24.6
sample10418,no,cd4_t_cell,28.5
sample10455,no,cd4_t_cell,31.19
sample10456,no,cd4_t_cell,30.22
sample10457,no,cd4_t_cell,30.59
sample10470,no,cd4_t_cell,29.54
sample10471,no,cd4_t_cell,29.15
sample10472,no,cd4_t_cell,24.97
sample10473,no,cd4_t_cell,39.47
sample10474,no,cd4_t_cell,32.13
sample10475,no,cd4_t_cell,30.82
sample00024,yes,cd4_t_cell,35.28
sample00025,yes,cd4_t_cell,31.74
sample00026,yes,cd4_t_cell,36.07
sample00060,yes,cd4_t_cell,37.49
sample00061,yes,cd4_t_cell,34.19
sample00062,yes,cd4_t_cell,22.62
sample00066,yes,cd4_t_cell,34.81
sample00067,yes,cd4_t_cell,27.38
sample00068,yes,cd4_t_cell,32.16
sample00075,yes,cd4_t_cell,31.66
sample00076,yes,cd4_t_cell,33.92
sample00077,yes,cd4_t_cell,40.34
sample00141,yes,cd4_t_cell,34.39
sample00142,yes,cd4_t_cell,32.66
sample00143,yes,cd4_t_cell,26.13
sample00165,yes,cd4_t_cell,31.5
sample00166,yes,cd4_t_cell,29.7
sample00167,yes,cd4_t_cell,24.59
sample00168,yes,cd4_t_cell,29.65
sample00169,yes,cd4_t_cell,35.42
sample00170,yes,cd4_t_cell,27.06
sample00261,yes,cd4_t_cell,24.67
sample00262,yes,cd4_t_cell,35.82
sample00263,yes,cd4_t_cell,32.26
sample00324,yes,cd4_t_cell,19.54
sample00325,yes,cd4_t_cell,25.45
sample00326,yes,cd4_t_cell,37.43
sample00327,yes,cd4_t_cell,30.58
sample00328,yes,cd4_t_cell,26.3
sample00329,yes,cd4_t_cell,32.6
sample00333,yes,cd4_t_cell,34.52
sample00334,yes,cd4_t_cell,31.94
sample00335,yes,cd4_t_cell,32.54
sample00369,yes,cd4_t_cell,26.66
sample00370,yes,cd4_t_cell,24.35
sample00371,yes,cd4_t_cell,31.8
sample00378,yes,cd4_t_cell,29.35
sample00379,yes,cd4_t_cell,22.99
sample00380,yes,cd4_t_cell,36.05
sample00426,yes,cd4_t_cell,28.86
sample00427,yes,cd4_t_cell,24.39
sample00428,yes,cd4_t_cell,37.84
sample00447,yes,cd4_t_cell,27.15
sample00448,yes,cd4_t_cell,31.98
sample00449,yes,cd4_t_cell,30.99
sample00483,yes,cd4_t_cell,31.87
sample00484,yes,cd4_t_cell,33.96
sample00485,yes,cd4_t_cell,29.53
sample00498,yes,cd4_t_cell,27.17
sample00499,yes,cd4_t_cell,27.23
sample00500,yes,cd4_t_cell,35.71
sample00510,yes,cd4_t_cell,38.81
sample00511,yes,cd4_t_cell,32.38
sample00512,yes,cd4_t_cell,36.98
sample00537,yes,cd4_t_cell,24.36
sample00538,yes,cd4_t_cell,28.58
sample00539,yes,cd4_t_cell,35.1
sample00543,yes,cd4_t_cell,27.11
sample00544,yes,cd4_t_cell,29.26
sample00545,yes,cd4_t_cell,29.4
sample00555,yes,cd4_t_cell,20.78
sample00556,yes,cd4_t_cell,30.18
sample00557,yes,cd4_t_cell,31.31
sample00564,yes,cd4_t_cell,28.55
sample00565,yes,cd4_t_cell,41.13
sample00566,yes,cd4_t_cell,38.14
sample00621,yes,cd4_t_cell,31.69
sample00622,yes,cd4_t_cell,17.18
sample00623,yes,cd4_t_cell,27.27
sample00630,yes,cd4_t_cell,34.98
sample00631,yes,cd4_t_cell,31.34
sample00632,yes,cd4_t_cell,43.07
sample00660,yes,cd4_t_cell,21.53
sample00661,yes,cd4_t_cell,35.55
sample00662,yes,cd4_t_cell,35.44
sample00675,yes,cd4_t_cell,39.1
sample00676,yes,cd4_t_cell,22.3
sample00677,yes,cd4_t_cell,23.24
sample00714,yes,cd4_t_cell,28.16
sample00715,yes,cd4_t_cell,25.89
sample00716,yes,cd4_t_cell,28.18
sample00753,yes,cd4_t_cell,34.71
sample00754,yes,cd4_t_cell,43.82
sample00755,yes,cd4_t_cell,24.92
sample00825,yes,cd4_t_cell,29.99
sample00826,yes,cd4_t_cell,30.83
sample00827,yes,cd4_t_cell,32.69
sample00840,yes,cd4_t_cell,37.79
sample00841,yes,cd4_t_cell,40.75
sample00842,yes,cd4_t_cell,35.84
sample00861,yes,cd4_t_cell,24.29
sample00862,yes,cd4_t_cell,32.11
sample00863,yes,cd4_t_cell,25.41
sample00873,yes,cd4_t_cell,23.16
sample00874,yes,cd4_t_cell,21.81
sample00875,yes,cd4_t_cell,36.12
sample00876,yes,cd4_t_cell,23.88
sample00877,yes,cd4_t_cell,28.43
sample00878,yes,cd4_t_cell,31.86
sample00888,yes,cd4_t_cell,38.06
sample00889,yes,cd4_t_cell,35.7
sample00890,yes,cd4_t_cell,28.62
sample00894,yes,cd4_t_cell,28.1
sample00895,yes,cd4_t_cell,25.92
sample00896,yes,cd4_t_cell,35.37
sample00912,yes,cd4_t_cell,20.79
sample00913,yes,cd4_t_cell,39.09
sample00914,yes,cd4_t_cell,33.77
sample00915,yes,cd4_t_cell,19.43
sample00916,yes,cd4_t_cell,26.76
sample00917,yes,cd4_t_cell,30.62
sample00939,yes,cd4_t_cell,26.1
sample00940,yes,cd4_t_cell,32.65
sample00941,yes,cd4_t_cell,25.54
sample01008,yes,cd4_t_cell,26.37
sample01009,yes,cd4_t_cell,28.95
sample01010,yes,cd4_t_cell,28.66
sample01017,yes,cd4_t_cell,35.43
sample01018,yes,cd4_t_cell,36.39
sample01019,yes,cd4_t_cell,45.41
sample01068,yes,cd4_t_cell,30.0
sample01069,yes,cd4_t_cell,34.19
sample01070,yes,cd4_t_cell,28.52
sample01074,yes,cd4_t_cell,30.17
sample01075,yes,cd4_t_cell,35.09
sample01076,yes,cd4_t_cell,36.05
sample01080,yes,cd4_t_cell,27.79
sample01081,yes,cd4_t_cell,31.08
sample01082,yes,cd4_t_cell,34.08
sample01092,yes,cd4_t_cell,30.93
sample01093,yes,cd4_t_cell,27.73
sample01094,yes,cd4_t_cell,33.51
sample01104,yes,cd4_t_cell,46.93
sample01105,yes,cd4_t_cell,22.08
sample01106,yes,cd4_t_cell,21.94
sample01128,yes,cd4_t_cell,19.14
sample01129,yes,cd4_t_cell,33.37
sample01130,yes,cd4_t_cell,26.54
sample01170,yes,cd4_t_cell,31.92
sample01171,yes,cd4_t_cell,29.27
sample01172,yes,cd4_t_cell,26.15
sample01245,yes,cd4_t_cell,29.23
sample01246,yes,cd4_t_cell,28.14
sample01247,yes,cd4_t_cell,39.96
sample01248,yes,cd4_t_cell,29.73
sample01249,yes,cd4_t_cell,42.04
sample01250,yes,cd4_t_cell,31.93
sample01260,yes,cd4_t_cell,32.64
sample01261,yes,cd4_t_cell,35.16
sample01262,yes,cd4_t_cell,36.66
sample01266,yes,cd4_t_cell,29.63
sample01267,yes,cd4_t_cell,33.55
sample01268,yes,cd4_t_cell,29.94
sample01284,yes,cd4_t_cell,35.4
sample01285,yes,cd4_t_cell,26.7
sample01286,yes,cd4_t_cell,35.3
sample01311,yes,cd4_t_cell,31.0
sample01312,yes,cd4_t_cell,36.59
sample01313,yes,cd4_t_cell,27.1
sample01326,yes,cd4_t_cell,28.3
sample01327,yes,cd4_t_cell,31.33
sample01328,yes,cd4_t_cell,29.47
sample01329,yes,cd4_t_cell,27.8
sample01330,yes,cd4_t_cell,31.08
sample01331,yes,cd4_t_cell,23.39
sample01332,yes,cd4_t_cell,34.55
sample01333,yes,cd4_t_cell,29.94
sample01334,yes,cd4_t_cell,25.85
sample01359,yes,cd4_t_cell,26.28
sample01360,yes,cd4_t_cell,33.61
sample01361,yes,cd4_t_cell,24.43
sample01377,yes,cd4_t_cell,25.98
sample01378,yes,cd4_t_cell,37.68
sample01379,yes,cd4_t_cell,34.63
sample01419,yes,cd4_t_cell,30.89
sample01420,yes,cd4_t_cell,26.2
sample01421,yes,cd4_t_cell,28.61
sample01422,yes,cd4_t_cell,26.6
sample01423,yes,cd4_t_cell,26.1
sample01424,yes,cd4_t_cell,28.4
sample01440,yes,cd4_t_cell,36.42
sample01441,yes,cd4_t_cell,27.71
sample01442,yes,cd4_t_cell,33.0
sample01458,yes,cd4_t_cell,33.06
sample01459,yes,cd4_t_cell,31.53
sample01460,yes,cd4_t_cell,36.38
sample01491,yes,cd4_t_cell,39.68
sample01492,yes,cd4_t_cell,41.46
sample01493,yes,cd4_t_cell,27.97
sample01497,yes,cd4_t_cell,25.67
sample01498,yes,cd4_t_cell,31.47
sample01499,yes,cd4_t_cell,34.14
sample01533,yes,cd4_t_cell,22.48
sample01534,yes,cd4_t_cell,24.73
sample01535,yes,cd4_t_cell,35.73
sample01536,yes,cd4_t_cell,29.51
sample01537,yes,cd4_t_cell,33.13
sample01538,yes,cd4_t_cell,27.49
sample01545,yes,cd4_t_cell,26.97
sample01546,yes,cd4_t_cell,29.43
sample01547,yes,cd4_t_cell,28.16
sample01602,yes,cd4_t_cell,27.86
sample01603,yes,cd4_t_cell,34.06
sample01604,yes,cd4_t_cell,36.47
sample01620,yes,cd4_t_cell,28.18
sample01621,yes,cd4_t_cell,34.9
sample01622,yes,cd4_t_cell,32.51
sample01635,yes,cd4_t_cell,22.86
sample01636,yes,cd4_t_cell,28.26
sample01637,yes,cd4_t_cell,28.62
sample01638,yes,cd4_t_cell,32.85
sample01639,yes,cd4_t_cell,35.58
sample01640,yes,cd4_t_cell,22.07
sample01665,yes,cd4_t_cell,38.41
sample01666,yes,cd4_t_cell,23.3
sample01667,yes,cd4_t_cell,25.38
sample01683,yes,cd4_t_cell,20.07
sample01684,yes,cd4_t_cell,29.7
sample01685,yes,cd4_t_cell,28.12
sample01692,yes,cd4_t_cell,32.15
sample01693,yes,cd4_t_cell,27.08
sample01694,yes,cd4_t_cell,27.96
sample01719,yes,cd4_t_cell,28.2
sample01720,yes,cd4_t_cell,40.24
sample01721,yes,cd4_t_cell,35.48
sample01728,yes,cd4_t_cell,38.66
sample01729,yes,cd4_t_cell,28.7
sample01730,yes,cd4_t_cell,25.77
sample01755,yes,cd4_t_cell,28.64
sample01756,yes,cd4_t_cell,29.81
sample01757,yes,cd4_t_cell,32.65
sample01785,yes,cd4_t_cell,27.48
sample01786,yes,cd4_t_cell,33.74
sample01787,yes,cd4_t_cell,42.52
sample01815,yes,cd4_t_cell,29.43
sample01816,yes,cd4_t_cell,34.86
sample01817,yes,cd4_t_cell,34.27
sample01824,yes,cd4_t_cell,34.73
sample01825,yes,cd4_t_cell,25.14
sample01826,yes,cd4_t_cell,33.75
sample01830,yes,cd4_t_cell,32.18
sample01831,yes,cd4_t_cell,30.1
sample01832,yes,cd4_t_cell,33.25
sample01833,yes,cd4_t_cell,35.67
sample01834,yes,cd4_t_cell,32.83
sample01835,yes,cd4_t_cell,37.3
sample01881,yes,cd4_t_cell,28.31
sample01882,yes,cd4_t_cell,43.99
sample01883,yes,cd4_t_cell,34.32
sample01899,yes,cd4_t_cell,36.03
sample01900,yes,cd4_t_cell,30.2
sample01901,yes,cd4_t_cell,38.71
sample01962,yes,cd4_t_cell,32.09
sample01963,yes,cd4_t_cell,43.75
sample01964,yes,cd4_t_cell,27.83
sample02037,yes,cd4_t_cell,30.26
sample02038,yes,cd4_t_cell,34.72
sample02039,yes,cd4_t_cell,21.55
sample02055,yes,cd4_t_cell,28.07
sample02056,yes,cd4_t_cell,26.94
sample02057,yes,cd4_t_cell,22.1
sample02064,yes,cd4_t_cell,32.96
sample02065,yes,cd4_t_cell,36.01
sample02066,yes,cd4_t_cell,31.84
sample02178,yes,cd4_t_cell,24.68
sample02179,yes,cd4_t_cell,37.55
sample02180,yes,cd4_t_cell,39.3
sample02196,yes,cd4_t_cell,27.71
sample02197,yes,cd4_t_cell,29.31
sample02198,yes,cd4_t_cell,25.27
sample02235,yes,cd4_t_cell,20.55
sample02236,yes,cd4_t_cell,20.82
sample02237,yes,cd4_t_cell,29.19
sample02244,yes,cd4_t_cell,29.24
sample02245,yes,cd4_t_cell,29.47
sample02246,yes,cd4_t_cell,31.34
sample02262,yes,cd4_t_cell,37.81
sample02263,yes,cd4_t_cell,32.34
sample02264,yes,cd4_t_cell,29.92
sample02340,yes,cd4_t_cell,24.79
sample02341,yes,cd4_t_cell,31.1
sample02342,yes,cd4_t_cell,29.79
sample02388,yes,cd4_t_cell,16.46
sample02389,yes,cd4_t_cell,26.38
sample02390,yes,cd4_t_cell,30.85
sample02439,yes,cd4_t_cell,29.29
sample02440,yes,cd4_t_cell,25.58
sample02441,yes,cd4_t_cell,25.48
sample02454,yes,cd4_t_cell,28.28
sample02455,yes,cd4_t_cell,37.46
sample02456,yes,cd4_t_cell,21.99
sample02466,yes,cd4_t_cell,27.53
sample02467,yes,cd4_t_cell,24.42
sample02468,yes,cd4_t_cell,31.78
sample02481,yes,cd4_t_cell,41.89
sample02482,yes,cd4_t_cell,29.19
sample02483,yes,cd4_t_cell,33.75
sample02490,yes,cd4_t_cell,26.61
sample02491,yes,cd4_t_cell,35.28
sample02492,yes,cd4_t_cell,35.38
sample02499,yes,cd4_t_cell,34.22
sample02500,yes,cd4_t_cell,30.22
sample02501,yes,cd4_t_cell,33.9
sample02517,yes,cd4_t_cell,43.02
sample02518,yes,cd4_t_cell,30.89
sample02519,yes,cd4_t_cell,30.62
sample02562,yes,cd4_t_cell,34.64
sample02563,yes,cd4_t_cell,33.36
sample02564,yes,cd4_t_cell,38.3
sample02574,yes,cd4_t_cell,37.07
sample02575,yes,cd4_t_cell,31.02
sample02576,yes,cd4_t_cell,23.66
sample02586,yes,cd4_t_cell,37.6
sample02587,yes,cd4_t_cell,31.02
sample02588,yes,cd4_t_cell,30.83
sample02589,yes,cd4_t_cell,24.95
sample02590,yes,cd4_t_cell,22.98
sample02591,yes,cd4_t_cell,39.13
sample02625,yes,cd4_t_cell,42.35
sample02626,yes,cd4_t_cell,24.49
sample02627,yes,cd4_t_cell,26.29
sample02640,yes,cd4_t_cell,38.6
sample02641,yes,cd4_t_cell,32.58
sample02642,yes,cd4_t_cell,35.71
sample02655,yes,cd4_t_cell,30.11
sample02656,yes,cd4_t_cell,31.32
sample02657,yes,cd4_t_cell,23.59
sample02673,yes,cd4_t_cell,30.88
sample02674,yes,cd4_t_cell,28.97
sample02675,yes,cd4_t_cell,23.02
sample02736,yes,cd4_t_cell,25.86
sample02737,yes,cd4_t_cell,22.51
sample02738,yes,cd4_t_cell,26.33
sample02754,yes,cd4_t_cell,34.63
sample02755,yes,cd4_t_cell,26.7
sample02756,yes,cd4_t_cell,39.6
sample02760,yes,cd4_t_cell,26.87
sample02761,yes,cd4_t_cell,27.97
sample02762,yes,cd4_t_cell,41.51
sample02766,yes,cd4_t_cell,36.5
sample02767,yes,cd4_t_cell,24.26
sample02768,yes,cd4_t_cell,17.46
sample02772,yes,cd4_t_cell,40.29
sample02773,yes,cd4_t_cell,27.6
sample02774,yes,cd4_t_cell,31.17
sample02781,yes,cd4_t_cell,31.9
sample02782,yes,cd4_t_cell,30.4
sample02783,yes,cd4_t_cell,25.78
sample02808,yes,cd4_t_cell,24.67
sample02809,yes,cd4_t_cell,29.43
sample02810,yes,cd4_t_cell,32.46
sample02823,yes,cd4_t_cell,32.62
sample02824,yes,cd4_t_cell,36.91
sample02825,yes,cd4_t_cell,34.69
sample02838,yes,cd4_t_cell,34.74
sample02839,yes,cd4_t_cell,34.2
sample02840,yes,cd4_t_cell,33.83
sample02847,yes,cd4_t_cell,26.47
sample02848,yes,cd4_t_cell,28.61
sample02849,yes,cd4_t_cell,33.44
sample02856,yes,cd4_t_cell,35.44
sample02857,yes,cd4_t_cell,32.88
sample02858,yes,cd4_t_cell,32.38
sample02874,yes,cd4_t_cell,27.37
sample02875,yes,cd4_t_cell,22.48
sample02876,yes,cd4_t_cell,29.03
sample02910,yes,cd4_t_cell,29.54
sample02911,yes,cd4_t_cell,29.6
sample02912,yes,cd4_t_cell,35.03
sample02916,yes,cd4_t_cell,32.04
sample02917,yes,cd4_t_cell,36.63
sample02918,yes,cd4_t_cell,32.06
sample02925,yes,cd4_t_cell,33.66
sample02926,yes,cd4_t_cell,32.15
sample02927,yes,cd4_t_cell,31.53
sample02928,yes,cd4_t_cell,31.23
sample02929,yes,cd4_t_cell,28.4
sample02930,yes,cd4_t_cell,37.37
sample02976,yes,cd4_t_cell,36.48
sample02977,yes,cd4_t_cell,24.91
sample02978,yes,cd4_t_cell,37.91
sample02991,yes,cd4_t_cell,27.48
sample02992,yes,cd4_t_cell,34.61
sample02993,yes,cd4_t_cell,38.19
sample02997,yes,cd4_t_cell,25.03
sample02998,yes,cd4_t_cell,26.16
sample02999,yes,cd4_t_cell,30.79
sample03000,yes,cd4_t_cell,28.47
sample03001,yes,cd4_t_cell,42.85
sample03002,yes,cd4_t_cell,33.13
sample03021,yes,cd4_t_cell,33.58
sample03022,yes,cd4_t_cell,25.4
sample03023,yes,cd4_t_cell,25.02
sample03024,yes,cd4_t_cell,24.43
sample03025,yes,cd4_t_cell,37.17
sample03026,yes,cd4_t_cell,35.31
sample03039,yes,cd4_t_cell,41.16
sample03040,yes,cd4_t_cell,34.64
sample03041,yes,cd4_t_cell,27.76
sample03066,yes,cd4_t_cell,33.26
sample03067,yes,cd4_t_cell,40.67
sample03068,yes,cd4_t_cell,29.87
sample03093,yes,cd4_t_cell,28.13
sample03094,yes,cd4_t_cell,32.21
sample03095,yes,cd4_t_cell,33.35
sample03120,yes,cd4_t_cell,25.49
sample03121,yes,cd4_t_cell,28.13
sample03122,yes,cd4_t_cell,31.99
sample03159,yes,cd4_t_cell,45.84
sample03160,yes,cd4_t_cell,29.03
sample03161,yes,cd4_t_cell,32.93
sample03183,yes,cd4_t_cell,33.34
sample03184,yes,cd4_t_cell,27.9
sample03185,yes,cd4_t_cell,28.04
sample03195,yes,cd4_t_cell,31.89
sample03196,yes,cd4_t_cell,24.01
sample03197,yes,cd4_t_cell,26.06
sample03246,yes,cd4_t_cell,35.7
sample03247,yes,cd4_t_cell,25.12
sample03248,yes,cd4_t_cell,29.35
sample03264,yes,cd4_t_cell,27.45
sample03265,yes,cd4_t_cell,36.03
sample03266,yes,cd4_t_cell,30.77
sample03267,yes,cd4_t_cell,26.19
sample03268,yes,cd4_t_cell,28.65
sample03269,yes,cd4_t_cell,29.81
sample03273,yes,cd4_t_cell,32.89
sample03274,yes,cd4_t_cell,31.31
sample03275,yes,cd4_t_cell,27.15
sample03285,yes,cd4_t_cell,31.46
sample03286,yes,cd4_t_cell,28.96
sample03287,yes,cd4_t_cell,22.31
sample03297,yes,cd4_t_cell,34.93
sample03298,yes,cd4_t_cell,26.72
sample03299,yes,cd4_t_cell,30.52
sample03303,yes,cd4_t_cell,28.75
sample03304,yes,cd4_t_cell,31.58
sample03305,yes,cd4_t_cell,22.57
sample03375,yes,cd4_t_cell,27.12
sample03376,yes,cd4_t_cell,27.26
sample03377,yes,cd4_t_cell,23.6
sample03381,yes,cd4_t_cell,30.86
sample03382,yes,cd4_t_cell,24.19
sample03383,yes,cd4_t_cell,37.84
sample03405,yes,cd4_t_cell,27.88
sample03406,yes,cd4_t_cell,28.34
sample03407,yes,cd4_t_cell,31.82
sample03453,yes,cd4_t_cell,17.76
sample03454,yes,cd4_t_cell,33.58
sample03455,yes,cd4_t_cell,27.0
sample03465,yes,cd4_t_cell,28.65
sample03466,yes,cd4_t_cell,31.47
sample03467,yes,cd4_t_cell,39.23
sample03486,yes,cd4_t_cell,30.63
sample03487,yes,cd4_t_cell,31.32
sample03488,yes,cd4_t_cell,40.59
sample03492,yes,cd4_t_cell,36.21
sample03493,yes,cd4_t_cell,21.28
sample03494,yes,cd4_t_cell,30.43
sample03531,yes,cd4_t_cell,31.79
sample03532,yes,cd4_t_cell,23.7
sample03533,yes,cd4_t_cell,33.81
sample03576,yes,cd4_t_cell,25.85
sample03577,yes,cd4_t_cell,38.26
sample03578,yes,cd4_t_cell,30.64
sample03588,yes,cd4_t_cell,29.07
sample03589,yes,cd4_t_cell,21.11
sample03590,yes,cd4_t_cell,23.64
sample03591,yes,cd4_t_cell,32.59
sample03592,yes,cd4_t_cell,28.86
sample03593,yes,cd4_t_cell,34.08
sample03621,yes,cd4_t_cell,29.58
sample03622,yes,cd4_t_cell,26.66
sample03623,yes,cd4_t_cell,34.88
sample03624,yes,cd4_t_cell,42.26
sample03625,yes,cd4_t_cell,30.69
sample03626,yes,cd4_t_cell,28.87
sample03747,yes,cd4_t_cell,23.96
sample03748,yes,cd4_t_cell,33.47
sample03749,yes,cd4_t_cell,31.39
sample03765,yes,cd4_t_cell,27.37
sample03766,yes,cd4_t_cell,28.39
sample03767,yes,cd4_t_cell,31.93
sample03789,yes,cd4_t_cell,23.37
sample03790,yes,cd4_t_cell,23.96
sample03791,yes,cd4_t_cell,26.42
sample03804,yes,cd4_t_cell,23.21
sample03805,yes,cd4_t_cell,26.9
sample03806,yes,cd4_t_cell,37.84
sample03819,yes,cd4_t_cell,33.94
sample03820,yes,cd4_t_cell,27.13
sample03821,yes,cd4_t_cell,22.85
sample03846,yes,cd4_t_cell,30.75
sample03847,yes,cd4_t_cell,29.54
sample03848,yes,cd4_t_cell,30.87
sample03852,yes,cd4_t_cell,26.95
sample03853,yes,cd4_t_cell,21.08
sample03854,yes,cd4_t_cell,25.88
sample03861,yes,cd4_t_cell,33.84
sample03862,yes,cd4_t_cell,33.06
sample03863,yes,cd4_t_cell,28.61
sample03885,yes,cd4_t_cell,26.73
sample03886,yes,cd4_t_cell,25.42
sample03887,yes,cd4_t_cell,35.98
sample03936,yes,cd4_t_cell,32.7
sample03937,yes,cd4_t_cell,27.98
sample03938,yes,cd4_t_cell,37.76
sample03942,yes,cd4_t_cell,22.15
sample03943,yes,cd4_t_cell,31.7
sample03944,yes,cd4_t_cell,21.99
sample03951,yes,cd4_t_cell,31.6
sample03952,yes,cd4_t_cell,28.16
sample03953,yes,cd4_t_cell,31.25
sample03963,yes,cd4_t_cell,33.91
sample03964,yes,cd4_t_cell,32.87
sample03965,yes,cd4_t_cell,21.58
sample03981,yes,cd4_t_cell,28.19
sample03982,yes,cd4_t_cell,28.93
sample03983,yes,cd4_t_cell,34.92
sample04014,yes,cd4_t_cell,26.5
sample04015,yes,cd4_t_cell,26.32
sample04016,yes,cd4_t_cell,24.65
sample04035,yes,cd4_t_cell,19.12
sample04036,yes,cd4_t_cell,30.29
sample04037,yes,cd4_t_cell,32.1
sample04047,yes,cd4_t_cell,24.43
sample04048,yes,cd4_t_cell,33.9
sample04049,yes,cd4_t_cell,32.15
sample04068,yes,cd4_t_cell,28.49
sample04069,yes,cd4_t_cell,33.95
sample04070,yes,cd4_t_cell,30.68
sample04128,yes,cd4_t_cell,24.72
sample04129,yes,cd4_t_cell,37.59
sample04130,yes,cd4_t_cell,26.41
sample04155,yes,cd4_t_cell,27.25
sample04156,yes,cd4_t_cell,30.73
sample04157,yes,cd4_t_cell,26.32
sample04170,yes,cd4_t_cell,26.99
sample04171,yes,cd4_t_cell,34.91
sample04172,yes,cd4_t_cell,27.27
sample04173,yes,cd4_t_cell,30.3
sample04174,yes,cd4_t_cell,26.09
sample04175,yes,cd4_t_cell,36.66
sample04188,yes,cd4_t_cell,27.83
sample04189,yes,cd4_t_cell,29.79
sample04190,yes,cd4_t_cell,29.91
sample04203,yes,cd4_t_cell,24.82
sample04204,yes,cd4_t_cell,28.68
sample04205,yes,cd4_t_cell,27.99
sample04224,yes,cd4_t_cell,32.07
sample04225,yes,cd4_t_cell,30.05
sample04226,yes,cd4_t_cell,21.79
sample04266,yes,cd4_t_cell,23.73
sample04267,yes,cd4_t_cell,23.8
sample04268,yes,cd4_t_cell,29.2
sample04284,yes,cd4_t_cell,20.06
sample04285,yes,cd4_t_cell,29.23
sample04286,yes,cd4_t_cell,19.27
sample04293,yes,cd4_t_cell,17.2
sample04294,yes,cd4_t_cell,35.96
sample04295,yes,cd4_t_cell,23.71
sample04296,yes,cd4_t_cell,22.25
sample04297,yes,cd4_t_cell,32.37
sample04298,yes,cd4_t_cell,35.27
sample04302,yes,cd4_t_cell,38.56
sample04303,yes,cd4_t_cell,31.92
sample04304,yes,cd4_t_cell,40.11
sample04347,yes,cd4_t_cell,31.46
sample04348,yes,cd4_t_cell,30.81
sample04349,yes,cd4_t_cell,29.23
sample04368,yes,cd4_t_cell,22.82
sample04369,yes,cd4_t_cell,25.9
sample04370,yes,cd4_t_cell,37.18
sample04377,yes,cd4_t_cell,24.23
sample04378,yes,cd4_t_cell,28.39
sample04379,yes,cd4_t_cell,34.26
sample04434,yes,cd4_t_cell,39.92
sample04435,yes,cd4_t_cell,37.48
sample04436,yes,cd4_t_cell,21.5
sample04461,yes,cd4_t_cell,21.88
sample04462,yes,cd4_t_cell,35.54
sample04463,yes,cd4_t_cell,28.29
sample04491,yes,cd4_t_cell,31.0
sample04492,yes,cd4_t_cell,25.1
sample04493,yes,cd4_t_cell,34.53
sample07506,yes,cd4_t_cell,39.59
sample07507,yes,cd4_t_cell,15.67
sample07508,yes,cd4_t_cell,31.63
sample07527,yes,cd4_t_cell,32.34
sample07528,yes,cd4_t_cell,38.81
sample07529,yes,cd4_t_cell,26.98
sample07551,yes,cd4_t_cell,28.68
sample07552,yes,cd4_t_cell,32.44
sample07553,yes,cd4_t_cell,26.64
sample07560,yes,cd4_t_cell,28.89
sample07561,yes,cd4_t_cell,24.48
sample07562,yes,cd4_t_cell,28.38
sample07575,yes,cd4_t_cell,32.88
sample07576,yes,cd4_t_cell,24.8
sample07577,yes,cd4_t_cell,26.94
sample07587,yes,cd4_t_cell,32.55
sample07588,yes,cd4_t_cell,33.81
sample07589,yes,cd4_t_cell,29.88
sample07593,yes,cd4_t_cell,21.62
sample07594,yes,cd4_t_cell,34.47
sample07595,yes,cd4_t_cell,27.67
sample07614,yes,cd4_t_cell,32.33
sample07615,yes,cd4_t_cell,25.67
sample07616,yes,cd4_t_cell,35.32
sample07647,yes,cd4_t_cell,36.65
sample07648,yes,cd4_t_cell,28.07
sample07649,yes,cd4_t_cell,19.37
sample07665,yes,cd4_t_cell,26.01
sample07666,yes,cd4_t_cell,26.79
sample07667,yes,cd4_t_cell,27.17
sample07725,yes,cd4_t_cell,48.27
sample07726,yes,cd4_t_cell,27.88
sample07727,yes,cd4_t_cell,29.09
sample07761,yes,cd4_t_cell,31.27
sample07762,yes,cd4_t_cell,27.21
sample07763,yes,cd4_t_cell,36.83
sample07800,yes,cd4_t_cell,34.17
sample07801,yes,cd4_t_cell,24.7
sample07802,yes,cd4_t_cell,25.04
sample07821,yes,cd4_t_cell,26.06
sample07822,yes,cd4_t_cell,35.73
sample07823,yes,cd4_t_cell,28.39
sample07824,yes,cd4_t_cell,25.48
sample07825,yes,cd4_t_cell,21.22
sample07826,yes,cd4_t_cell,34.63
sample07827,yes,cd4_t_cell,25.6
sample07828,yes,cd4_t_cell,31.91
sample07829,yes,cd4_t_cell,25.03
